fLength,fWidth,fM3Trans,fDist,class
31.6173,24.2115,-11.5139,157.613,g
85.9355,29.9215,-14.117,335.983,g
20.0777,12.6181,7.8845,132.889,g
59.6124,30.8693,-29.0666,264.642,g
72.969,19.2006,-10.2088,291.175,g
20.7154,7.1982,5.9528,189.577,g
23.807,10.0712,-7.645,216.895,g
24.38,17.4654,-14.2938,256.869,g
36.5237,15.3246,-5.1062,109.517,g
19.0154,12.8813,8.0364,174.401,g
23.8915,12.8584,8.3832,131.247,g
82.3156,17.9964,-17.9965,288.194,g
72.8104,14.3361,-5.9832,286.265,g
20.4525,7.2419,-5.7228,159.126,g
23.6179,20.0571,-11.354,86.2468,g
80.0169,29.9756,-24.8336,228.254,g
20.7779,7.1383,-5.9792,177.459,g
37.3516,16.8653,-11.6112,184.572,g
25.0056,16.7048,-14.0925,169.08,g
42.1289,16.1025,14.4754,220.713,g
24.3343,14.9489,-13.2107,125.972,g
17.8912,15.0832,15.5561,225.809,g
21.6327,17.2218,14.4923,186.555,g
60.7883,27.5272,13.1675,237.768,g
78.6493,34.0613,15.8013,161.776,g
84.2741,33.3225,16.3734,260.378,g
77.5343,18.8832,12.4317,213.191,g
20.5321,15.3265,9.8037,207.691,g
33.7616,14.4511,-6.915,140.921,g
68.0121,27.6698,-26.1683,313.967,g
23.1657,12.7022,-8.0678,193.769,g
42.1441,13.7346,7.9992,228.537,g
36.079,13.2636,8.4708,147.636,g
74.3456,37.459,-21.7603,211.97,g
101.424,41.0631,-27.5737,265.012,g
43.1994,17.501,-4.6509,154.427,g
61.6933,18.0011,13.6166,234.109,g
23.2114,18.431,11.7008,51.4993,g
25.2455,19.0726,-7.5994,229.061,g
78.2002,23.1372,16.129,217.965,g
31.5256,7.4577,-7.3445,189.48,g
57.1656,19.9402,14.2419,247.114,g
26.3353,16.2775,-12.6072,194.042,g
45.8894,15.7069,-9.317,227.008,g
39.2192,14.1085,5.2607,225.515,g
52.221,12.2973,6.56,185.44,g
23.1587,0.0046,0,147.73,g
19.7592,12.1812,-10.7783,182.91,g
32.5377,19.6957,15.2061,136.814,g
23.153,21.0028,16.5609,78.7331,g
36.9017,24.9234,8.1078,135.037,g
29.1556,12.5696,10.0929,216.048,g
100.747,16.6321,-14.7132,230.713,g
46.5588,28.6929,10.205,107.747,g
33.3045,14.4421,8.066,215.956,g
29.8023,10.9847,8.5655,209.784,g
86.5346,40.6201,25.1406,219.069,g
64.6445,28.8301,-6.9935,261.443,g
64.4081,23.7635,-11.1654,224.491,g
20.683,7.2158,-5.933,137.98,g
68.8466,17.4731,-8.8232,248.86,g
31.5283,21.6599,13.2218,38.7816,g
90.239,14.5621,7.5805,303.714,g
20.9663,12.7298,-8.9597,218.66,g
13.0557,10.9159,10.5095,175.677,g
79.9539,31.9315,16.2707,171.441,g
44.9999,25.6517,-18.4786,15.3696,g
26.611,14.1842,-8.2908,135.119,g
70.457,22.9878,-10.9792,216.957,g
36.9794,24.1174,10.8997,93.9373,g
16.3371,11.6489,3.9635,224.031,g
71.2234,17.8914,-9.5179,223.184,g
45.8732,11.2837,2.9659,192.525,g
33.429,29.8932,-25.3331,28.8145,g
43.351,17.7081,-12.4757,140.19,g
56.2479,20.9217,8.7702,220.971,g
100.226,28.222,-13.6411,299.45,g
34.4244,9.6598,6.9027,182.12,g
22.2442,11.3451,-6.9374,147.737,g
37.3887,19.1897,-10.4241,245.343,g
92.6284,33.594,-13.1964,273.371,g
32.2468,13.0261,7.2235,168.025,g
50.0122,17.8938,-11.2019,201.766,g
63.7616,24.1374,8.1977,243.311,g
68.9648,25.5221,21.812,253.006,g
80.7093,47.2876,-25.3392,280.767,g
49.6601,22.0999,8.9821,197.243,g
22.8274,12.9011,-7.9568,164.843,g
50.5984,25.8939,19.5228,270.007,g
22.4236,15.8256,-4.5251,139.193,g
37.6518,15.2293,6.2648,184.216,g
21.1221,9.3478,-11.544,167.109,g
70.4799,18.7963,-17.9763,251.386,g
26.466,18.778,6.0375,169.81,g
19.4731,12.2939,-10.4173,202.139,g
18.9671,12.7729,-8.1819,163.805,g
33.5123,15.0057,2.2896,199.944,g
49.2754,14.5068,-11.145,177.428,g
114.806,22.8821,24.28,127.577,g
24.5581,15.468,8.5211,165.258,g
17.1997,7.3014,5.2467,217.318,g
86.5389,16.3152,4.4207,245.673,g
12.871,9.8459,-5.4993,146.03,g
36.1618,25.9263,14.7248,142.269,g
21.1474,16.8163,14.5016,122.94,g
13.123,10.9616,11.6445,98.8626,g
53.5736,25.803,14.9922,171.407,g
29.1123,18.0166,-10.7571,190.445,g
74.4746,13.4246,-9.3669,286.639,g
29.4259,17.0431,8.1478,142.487,g
40.749,26.1492,8.9177,169.123,g
33.8898,17.6924,7.6886,90.7788,g
85.6478,20.1038,-19.4233,318.342,g
21.4944,10.4204,-8.5553,207.058,g
35.9225,14.7049,12.4547,131.396,g
38.5491,19.1817,-7.9478,156.407,g
32.0949,13.4114,6.6499,197.379,g
29.9358,23.5957,-14.6917,143.347,g
24.8738,19.3399,-11.409,68.9708,g
13.1469,10.548,10.6172,225.093,g
23.6426,0,0,122.76,g
36.2124,9.5335,-5.3397,53.5635,g
31.3143,18.0536,12.6812,183.056,g
80.0634,31.6829,-12.4444,286.451,g
45.5567,16.8422,-10.3577,214.16,g
20.5056,12.823,8.7369,205.635,g
88.6611,23.5917,11.0464,279.442,g
23.8669,15.7684,-11.9383,118.458,g
29.669,19.4103,-13.4138,232.553,g
32.4734,11.2154,-10.7728,93.2392,g
91.9495,29.2949,22.0904,291.833,g
48.6413,19.3526,14.8701,214.847,g
12.691,11.6996,10.1028,164.163,g
23.2097,19.4279,-7.0757,168.656,g
43.1149,20.6045,5.8435,168.887,g
34.3373,16.4943,-12.3771,30.8191,g
50.1872,27.6518,-10.5164,93.8376,g
43.9615,20.2437,14.3218,189.616,g
24.598,12.202,5.8666,190.772,g
40.9468,18.4822,-8.7772,188.205,g
33.1959,11.5356,9.2649,182.24,g
35.5524,15.3608,6.9349,166.058,g
18.1069,10.398,-4.8388,145.226,g
23.3353,20.2994,7.5957,184.927,g
31.8025,12.3285,-10.7083,228.486,g
19.8547,11.7229,-5.3479,104.52,g
72.7983,23.2986,12.2292,206.648,g
18.0762,11.9477,-11.3148,130.658,g
19.6908,9.72,3.0192,174.422,g
92.3205,31.3727,-17.7369,246.786,g
18.9658,7.402,-3.4053,165.641,g
38.525,28.8308,-18.0274,119.196,g
109.37,7.2912,5.8806,371.095,g
31.0208,10.3206,-7.8747,189.763,g
37.6758,25.6146,-12.2202,71.4024,g
68.6967,24.7983,23.1282,178.712,g
22.7946,17.6215,-12.0047,173.349,g
72.912,10.4211,4.8373,235.075,g
74.1464,20.7143,19.484,300.163,g
58.4387,17.4136,16.8556,265.076,g
62.1547,22.8527,11.8992,222.286,g
18.7703,10.0147,-4.6444,194.863,g
24.1417,18.2322,3.5891,80.7012,g
85.4576,31.2369,-16.7292,297.823,g
54.2845,17.4844,-16.2378,211.699,g
19.7692,15.8392,11.4315,50.7506,g
20.6147,7.1962,-5.857,87.5154,g
53.6832,18.8762,14.2476,295.812,g
108.261,35.2459,18.3796,230.846,g
64.713,25.9065,-9.7075,209.056,g
63.6676,17.6143,10.6671,122.622,g
49.8142,14.8314,10.8811,92.7215,g
47.4667,17.912,-11.3089,223.254,g
41.504,21.5189,17.9862,225.89,g
47.1637,19.347,-6.9531,180.522,g
70.6596,30.9809,12.3933,253.993,g
66.5662,28.6046,20.895,261.59,g
28.3371,24.9896,-15.7731,107.15,g
53.7088,16.6628,-12.9033,252.365,g
79.7124,35.2208,-18.2423,340.809,g
30.251,13.6492,-9.1995,154.642,g
20.7708,16.7921,14.5851,228.28,g
27.1848,14.0718,7.5929,183.708,g
66.8289,20.5976,-22.971,325.446,g
35.8341,21.9779,17.1248,151.76,g
57.8911,22.2757,14.4477,193.871,g
62.7644,25.1345,-10.954,171.784,g
30.3706,22.2166,9.9684,160.596,g
23.3751,12.5305,-7.8915,94.5324,g
101.178,26.3345,17.8454,170.111,g
39.2852,14.4233,-4.512,254.953,g
12.7592,11.6189,-11.5795,105.064,g
34.2513,17.3507,11.951,238.184,g
23.2118,10.7747,-10.2216,114.905,g
43.0546,19.9313,10.863,149.596,g
20.7417,15.2144,-8.5521,151.372,g
22.3238,11.6049,-11.5998,206.474,g
79.6309,30.9289,18.1939,270.704,g
32.9957,12.5757,-10.0969,65.1353,g
60.012,19.0335,-13.7127,196.59,g
26.1033,19.74,-11.0293,182.494,g
40.0436,29.8364,-18.7429,147.6,g
18.8932,15.3311,-9.6919,170.615,g
43.9241,10.9225,10.0655,66.8513,g
23.6577,9.8458,10.2052,126.2,g
28.4739,21.2686,-16.0947,30.4329,g
70.0225,26.4199,14.111,256.658,g
72.7908,23.7428,15.0871,202.542,g
30.5807,12.704,-4.5491,129.373,g
35.086,19.428,-5.0981,177.42,g
31.3015,12.9583,-6.6409,220.319,g
25.7334,16.1706,-0.9389,67.7852,g
19.6633,9.2678,2.7477,211.998,g
42.7735,24.0127,-23.4385,277.779,g
23.9467,14.5395,-8.6566,185.734,g
37.6122,14.3011,10.0353,220.166,g
22.241,8.9672,9.4599,185.545,g
27.506,17.6938,-11.2782,187.61,g
21.1305,12.5141,-10.1223,168.833,g
27.515,14.227,9.1943,173.972,g
31.5473,16.5484,11.3766,196.962,g
18.0693,9.6759,6.8677,185.565,g
67.9187,18.5575,15.8403,232.656,g
27.8546,16.5647,9.745,213.389,g
81.8495,36.8892,24.6676,237.432,g
23.4123,14.7674,-13.7075,212.326,g
70.2288,28.4154,-19.9625,321.541,g
34.1392,18.3298,-9.5372,112.276,g
29.0976,15.3475,11.7229,194.115,g
29.4748,14.7801,11.1788,162.78,g
38.941,22.4191,-13.0111,131.992,g
20.8484,12.248,-9.4669,100.45,g
88.0174,21.6106,2.3756,243.888,g
59.0112,26.2465,-17.2875,206.842,g
79.539,22.7182,-11.0191,267.36,g
106.364,49.748,-23.9498,244.643,g
34.9792,22.7377,16.9388,94.4528,g
12.4899,11.9789,10.5907,217.134,g
55.8434,21.4546,9.9968,233.588,g
68.7354,20.5108,-11.3574,153.897,g
64.5226,14.9087,-7.4207,198.596,g
31.5737,19.7566,12.28,135.206,g
38.3448,14.1032,-5.8822,177.974,g
37.7253,16.6038,7.8238,256.048,g
26.7751,18.1128,-11.7582,57.7037,g
33.0776,12.6328,-7.7522,97.1445,g
42.1712,11.9324,-9.1849,124.56,g
67.2302,17.0296,10.6782,204.926,g
62.3261,18.0596,7.7899,122.613,g
63.7006,19.4801,-11.9541,245.152,g
36.852,25.1337,6.2066,98.7117,g
38.7558,15.7457,-9.8638,148.485,g
57.7702,19.8409,-4.8554,154.146,g
88.5562,23.4657,10.4241,230.344,g
41.745,19.728,11.3817,167.026,g
17.2692,11.1405,5.3486,206.442,g
23.1041,16.8594,10.5502,202.634,g
35.315,16.4057,-9.4979,151.136,g
30.7339,13.3786,-12.3432,192.529,g
46.3706,21.9331,-13.6362,264.805,g
47.0893,20.5962,-7.5246,180.709,g
19.7221,15.8656,-13.2124,132.292,g
32.9203,27.2356,-17.264,130.225,g
31.4417,19.7318,10.6866,96.3967,g
77.8088,24.8816,-10.7477,201.848,g
71.9672,29.0411,-17.0144,335.801,g
37.4443,24.6122,-18.7103,162.335,g
94.8276,37.9939,22.9415,192.106,g
38.0902,23.3226,-13.6954,78.4666,g
27.1239,17.6472,-13.4637,234.602,g
28.9475,20.2296,-9.4908,197.445,g
12.9683,11.098,-9.6018,162.358,g
35.7536,18.467,11.7761,132.719,g
43.9643,15.1253,11.334,171.96,g
58.6495,27.8697,-12.0952,263.348,g
72.6419,23.1654,-20.6375,329.579,g
20.9402,15.2975,-7.8032,107.513,g
91.6993,42.7846,-29.1995,346.239,g
17.8663,10.0635,3.5509,76.7357,g
24.9509,12.2758,6.3908,184.21,g
37.8835,12.4431,-3.8536,242.106,g
34.9294,15.993,-8.1753,210.866,g
26.8589,11.3542,-5.5475,145.696,g
26.889,9.8236,-6.9568,192.16,g
77.8141,26.5122,14.2353,218.662,g
20.2467,10.4762,10.9604,161.749,g
19.8657,10.773,9.9813,53.4503,g
18.4491,7.3587,2.9172,135.144,g
39.4796,16.8977,6.6446,198.882,g
112.635,31.147,23.0827,277.313,g
27.1373,13.7348,9.8976,157.231,g
73.2648,27.0787,18.8744,285.997,g
61.374,22.8597,15.9629,262.058,g
31.257,10.796,5.4537,187.887,g
12.6846,11.7208,11.1393,200.477,g
12.8557,9.8076,4.8509,169.005,g
13.4592,10.0133,11.5805,116.823,g
28.7248,16.5417,10.4323,226.558,g
12.641,9.2152,-7.2618,175.094,g
76.4482,26.3884,16.3129,305.318,g
97.3151,28.5147,22.2258,319.867,g
13.109,10.6767,-10.4481,203.513,g
20.4623,12.5622,-8.0259,65.8902,g
84.3787,33.7186,-8.1588,383.599,g
30.15,19.2314,-9.0885,173.789,g
36.4567,9.6195,-3.6981,228.153,g
45.4678,23.5905,13.6138,169.837,g
29.4682,24.3438,19.037,118.517,g
32.4134,16.0437,-11.5562,186.169,g
71.3468,25.1598,14.6913,211.858,g
27.8936,23.3166,-15.0672,83.9734,g
23.8686,16.2113,-11.02,158.83,g
95.6947,21.7506,-8.6471,237.781,g
86.7133,32.065,-15.8098,254.693,g
66.7069,26.946,-18.6999,256.118,g
48.8204,9.7049,9.545,282.387,g
67.9187,32.6559,-19.4972,273.901,g
19.6321,7.4005,-4.8491,133.457,g
12.9651,11.2603,-11.4327,182.309,g
45.5298,24.456,-12.2948,212.955,g
38.9699,14.8991,-9.8419,215.223,g
87.8842,35.0948,19.7623,364.982,g
32.0222,8.6668,-10.2571,43.7536,g
33.1706,15.5717,7.7843,170.48,g
41.9654,13.3986,8.4213,137.348,g
27.8675,6.8238,2.6727,141.871,g
25.5991,12.5304,-9.913,215.707,g
28.2338,16.3284,13.6102,217.377,g
22.9956,14.8647,11.9746,128.131,g
27.0944,21.3476,10.4483,69.6275,g
17.1072,11.2406,4.3863,223.327,g
24.4446,14.3012,4.5104,171.033,g
22.7103,17.5142,-15.8225,140.182,g
97.1547,38.0068,-22.4139,349.885,g
35.7748,15.872,-13.7786,180.333,g
17.0875,11.2666,4.9075,142.859,g
17.725,7.4803,3.8834,252.016,g
90.8484,33.0185,20.7582,332.585,g
80.5967,31.8121,11.1907,219.884,g
58.649,11.4742,-5.2842,254.139,g
40.2965,15.4665,-9.4184,210.714,g
50.0449,32.9152,19.2442,94.9161,g
20.3131,14.9422,-3.9695,230.014,g
18.9434,10.2434,-1.8324,134.474,g
30.3594,16.9003,5.16,248.599,g
21.5732,0,0,118.189,g
45.2808,20.8866,-5.7971,217.62,g
34.313,17.8379,9.2888,191.113,g
88.4638,26.6695,19.3974,295.65,g
26.3201,13.6678,-10.5491,262.888,g
48.8261,15.6801,-5.4943,142.795,g
18.7991,12.4262,9.4186,165.139,g
23.4563,11.3381,5.2721,141.462,g
92.6332,30.1404,14.4934,340.839,g
49.0345,13.0214,-5.9572,233.504,g
19.2295,11.4438,8.9212,222.838,g
94.1836,27.4501,-18.0331,310.397,g
19.2296,7.437,4.2152,179.885,g
43.7014,14.2281,-2.6712,197.124,g
25.3012,16.2202,-14.7233,228.125,g
71.7681,27.3733,-6.9685,283.419,g
31.3318,19.8114,18.9498,77.5384,g
18.6774,17.6112,-6.7637,179.516,g
13.1551,9.0786,10.5847,97.3209,g
20.5012,16.254,-9.2264,159.226,g
24.8332,7.3512,-4.0712,128.14,g
96.5408,37.4145,-22.0443,210.203,g
18.2899,16.9979,10.3602,197.529,g
23.1716,9.5924,11.3888,125.416,g
34.9922,18.443,12.0407,215.527,g
70.1479,20.2556,-10.1769,233.607,g
29.5611,16.2612,-5.6478,118.679,g
94.8427,46.5011,-29.6453,264.476,g
71.6093,20.8942,-16.013,309.411,g
48.5152,22.2848,13.8125,213.416,g
80.7882,55.0349,58.148,277.398,g
27.1259,12.9634,4.5179,99.2327,g
19.7062,17.9125,-10.408,177.847,g
19.8584,15.5018,4.5488,159.01,g
32.392,14.8974,6.632,217.28,g
28.6991,19.6079,-11.1086,158.988,g
41.2937,12.6744,8.7423,174.052,g
27.3361,8.0875,-4.1332,76.6494,g
26.503,11.6146,7.1181,99.3175,g
70.217,18.8949,11.8901,230.3,g
21.843,9.901,-9.4155,155.282,g
12.591,11.8526,11.4311,172.714,g
46.3641,13.7186,-10.1393,209.684,g
23.8241,10.0087,-10.7838,162.121,g
53.0403,13.8821,11.2755,237.736,g
61.5098,21.2576,-13.6801,229.416,g
33.2252,13.57,-9.7642,76.5837,g
24.8368,14.4621,5.7761,161.127,g
35.3335,12.5989,-10.1084,194.634,g
57.6389,19.9578,18.4333,113.551,g
20.8936,7.1692,6.0936,43.9599,g
87.0611,30.202,-21.6704,408.453,g
87.02,21.7407,8.3743,277.881,g
138.085,50.5402,31.2204,254.744,g
39.163,18.2024,16.9149,242.224,g
41.1027,11.8476,-9.7801,226.629,g
23.6829,0,0.0001,79.9193,g
18.636,10.1447,-5.4483,209.775,g
38.2407,14.7608,7.3276,203.657,g
33.7959,12.4542,-4.5372,181.831,g
46.7637,14.9414,-8.7253,175.065,g
23.4645,16.0261,10.5489,44.4753,g
25.9826,13.9899,7.689,94.0805,g
22.9006,12.6407,-8.2808,138.647,g
29.4437,17.2949,9.2319,87.6333,g
70.4372,23.8977,17.5967,317.562,g
77.4178,26.4332,17.2717,258.131,g
79.2821,27.9011,-12.9796,324.141,g
85.6145,22.8778,-6.1278,243.295,g
30.694,22.0026,19.8442,127.82,g
37.5494,11.2492,-2.2054,182.141,g
20.0833,15.4987,10.7756,96.7668,g
21.0167,8.4981,-0.9055,180.579,g
12.6472,11.7739,11.0509,171.3,g
82.9688,29.1319,-20.9311,204.233,g
36.8698,17.7978,8.1883,146.661,g
26.8487,11.0832,4.161,159.082,g
51.6785,25.5782,12.1553,236.85,g
43.2557,12.0269,-6.1091,299.406,g
23.7871,13.4529,9.0712,107.02,g
23.1262,16.9944,-13.8577,84.9105,g
27.3505,12.6293,8.0624,170.12,g
15.5071,11.6106,8.4352,149.374,g
20.1958,7.2301,-5.4224,137.714,g
63.1196,31.0642,14.7941,314.41,g
18.5136,16.9251,-14.1437,161.406,g
18.6133,10.0097,2.9013,179.16,g
20.2001,14.9132,-14.6188,148.227,g
29.2873,8.4266,6.042,166.636,g
39.938,17.9057,13.9186,113.943,g
19.6147,7.4136,-4.8478,236.766,g
52.9024,22.7868,8.8946,138.361,g
57.1182,25.9623,-15.5018,237.713,g
26.564,13.2097,1.8099,178.868,g
26.6212,19.2324,15.8738,198.768,g
16.0411,7.1442,-6.1496,203.754,g
109.32,47.7498,35.7266,275.318,g
50.1709,20.6646,-8.8212,198.364,g
68.2261,35.264,31.5966,175.194,g
56.5206,25.5338,-17.3517,234.512,g
27.4278,12.636,5.4596,255.342,g
36.7372,16.5615,-2.9455,190.35,g
68.2982,22.7802,12.6148,288.958,g
19.6229,18.7334,8.841,76.8999,g
22.0837,10.5265,10.7376,172.572,g
82.1714,40.3261,50.38,279.018,g
25.0822,10.9047,-7.3121,180.699,g
35.1926,27.6832,20.9731,84.5853,g
36.9465,18.2425,-15.5974,199.445,g
57.9074,30.0559,-31.5711,305.255,g
23.6678,0.0001,-10.8913,168.663,g
27.0994,10.6958,7.4016,145.424,g
28.2302,18.7591,17.6662,146.09,g
79.3831,12.9439,7.6861,221.48,g
78.8325,27.4832,-21.2811,288.565,g
35.5418,19.0787,-8.7971,155.091,g
13.3286,10.5157,11.7594,189.484,g
34.8904,14.3351,9.6898,103.707,g
36.0465,17.6856,-13.8596,104.142,g
26.8454,13.8541,8.3678,173.458,g
23.6729,0,16.4525,154.638,g
34.2078,12.1986,-6.9135,132.384,g
130.346,36.4798,-18.1384,228.298,g
31.2984,18.5756,11.3887,211.217,g
33.4718,23.5392,12.1541,229.513,g
47.8357,20.8121,-8.7009,215.892,g
31.0015,15.8117,-8.967,119.08,g
55.7546,18.3318,14.3961,285.788,g
37.1898,16.2488,-7.5508,170.414,g
60.6745,21.4003,-14.3242,108.385,g
13.0451,10.91,10.2706,136.507,g
35.648,11.8742,7.3992,212.108,g
50.2888,18.2407,8.2418,267.019,g
28.1635,15.807,-8.3405,248.03,g
31.3812,16.2673,10.5468,164.816,g
21.9153,9.8124,-9.7413,186.619,g
22.6157,12.6978,9.062,178.035,g
40.9872,16.3956,-11.6003,231.651,g
20.4324,18.8956,-20.4713,143.721,g
58.113,24.2392,26.5948,334.944,g
27.8821,17.6439,7.6692,202.109,g
25.1526,0,0,237.147,g
70.6168,19.7858,-11.7257,277,g
26.2271,20.6569,-17.5093,225.079,g
23.1306,14.9958,-7.1182,212.261,g
12.9987,10.7215,-7.2198,251.47,g
20.5966,17.8906,-13.202,244.401,g
12.6471,11.7783,11.4747,172.725,g
